"","Frage1m","Frage2_SQ001","Frage3_SQ001","Frage3_SQ002","Frage3_SQ003","Frage3_SQ004","Frage3_SQ005","Frage3_SQ006","Frage3_SQ007","Frage3_SQ008","Frage3_SQ009","Frage3_SQ010","Frage3_SQ011","Frage3_SQ012","Frage3_SQ013","Frage3_SQ014","Frage3_SQ015","Frage3_SQ016","Frage3_SQ017","Frage3_SQ018","Frage3_SQ019","Frage4_SQ001","Frage5_SQ001","Frage5_SQ002","Frage5_SQ003","Frage5_SQ004","Frage5_SQ005","Frage5_SQ006","Frage5_SQ007","Frage5_SQ008","Frage5_SQ009","Frage5_SQ010","Frage5_SQ011","Frage5_SQ012","Frage5_SQ013","Frage5_SQ014","Frage5_SQ015","Frage5_SQ016","Frage5_SQ017","Frage5_SQ018","Frage6_SQ001","Frage6_SQ002","Frage6_SQ003","Frage6_SQ004","Frage6_SQ005","Frage6_SQ006","Frage6_SQ007","Frage6_SQ008","Frage6_SQ009","Frage6_SQ010","Frage6_SQ011","Frage6_SQ012","Frage6_SQ013","Frage6_SQ014","Frage6_SQ015","Frage6_SQ016","Frage6_SQ017","Frage6_SQ018","Frage7_A1","Frage8_1","Frage8_2","Frage8_3","Frage8_4","Frage8_5","Frage9","Frage10_SQ002","Frage10b_SQ001","Frage11_SQ001","Frage12_SQ001","Frage12_SQ002","Frage12_SQ003","Frage12_SQ004","Frage12_SQ005","Frage12_SQ006","Frage12_SQ007","Frage12_SQ008","methode","geschlecht","alter_koh","aufenthaltsdauer","gemeinde_groesse","bezirk_code","bezirk_name_kurz"
"1",8,4,6,4,6,5,7,5,5,6,6,5,7,5,NA,6,1,7,6,7,6,3,7,6,NA,6,5,7,5,6,7,7,6,5,4,7,5,5,5,7,5,6,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,6,NA,NA,5,5,5,13,2,15,7,9,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,"online",2,"55 bis 59","Alteingesessen",">100000",110,"Winterthur"
"2",2,4,6,6,6,6,NA,4,6,6,6,6,6,6,6,6,6,6,6,7,7,4,5,5,7,7,7,5,6,6,6,6,5,5,5,5,5,5,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,7,5,4,3,10,11,15,13,2,94,124,3,NA,4,4,3,1,2,3,3,"P&P",1,"70 bis 74","Alteingesessen",">100000",110,"Winterthur"
"3",3,4,5,4,5,4,7,4,5,4,3,3,5,5,5,5,2,6,7,6,6,3,6,7,7,NA,NA,7,5,4,4,5,2,6,2,2,6,6,7,7,5,7,6,NA,NA,7,6,NA,NA,NA,NA,6,NA,NA,6,4,4,NA,4,NA,NA,NA,NA,NA,2,100,125,3,1,3,4,4,2,2,2,NA,"online",2,"55 bis 59","Alteingesessen","10001 bis 20000",105,"Hinwil"
"4",NA,3,5,1,7,6,7,7,7,4,4,7,7,3,4,7,7,5,7,7,5,3,6,5,7,6,5,6,7,4,4,6,7,6,5,6,5,5,1,5,4,NA,NA,3,3,5,2,3,5,3,3,4,4,NA,4,3,3,3,4,2,12,6,1,NA,1,NA,NA,2,2,2,NA,3,NA,NA,NA,NA,"online",2,"35 bis 39","Neuzuzüger","20001 bis 50000",105,"Hinwil"
"5",2,3,1,1,5,3,6,3,1,1,1,1,4,1,1,1,1,4,6,6,5,2,6,7,5,6,5,7,6,4,4,4,4,4,4,4,4,7,1,4,2,4,1,3,2,3,6,NA,NA,4,NA,3,6,4,3,2,4,2,4,2,5,4,12,3,2,72,100,2,1,3,3,4,1,1,1,4,"online",2,"50 bis 54","Alteingesessen","5001 bis 10000",107,"Meilen"
"6",1,4,5,2,6,6,7,4,5,4,1,1,6,7,1,7,5,7,7,7,6,4,5,6,6,6,6,5,7,3,1,1,2,5,5,1,4,4,6,5,7,7,7,6,6,7,5,NA,NA,NA,NA,3,5,NA,3,7,6,6,3,2,4,14,10,5,2,95,115,3,1,4,4,4,2,1,2,4,"online",1,"35 bis 39","Neuzuzüger","<1000",102,"Andelfingen"
"7",4,3,7,4,7,6,7,6,7,4,7,7,7,3,6,7,3,6,7,7,6,3,NA,6,6,NA,NA,7,6,NA,NA,NA,NA,6,NA,NA,7,NA,7,NA,NA,NA,6,NA,NA,3,4,NA,NA,NA,NA,6,NA,NA,6,3,5,NA,5,3,1,10,15,5,2,80,100,2,NA,NA,NA,NA,NA,NA,NA,NA,"online",2,"45 bis 49","Alteingesessen","10001 bis 20000",108,"Pfäffikon"
"8",3,3,3,1,1,6,7,6,4,1,2,1,6,1,4,6,1,7,4,5,2,3,3,4,6,4,4,5,2,2,1,2,1,2,2,2,3,4,6,7,NA,4,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,4,6,1,5,4,15,11,16,3,5,2,95,113,3,4,4,3,4,2,2,2,4,"online",1,"30 bis 34","Neuzuzüger","<1000",110,"Winterthur"
"9",6,4,NA,4,4,3,5,6,6,4,4,4,6,2,6,5,4,6,4,6,6,4,4,3,5,5,5,5,2,4,5,4,2,3,2,5,5,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,11,10,12,2,80,130,2,2,3,2,1,1,3,2,2,"online",2,"50 bis 54","Alteingesessen","5001 bis 10000",110,"Winterthur"
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P&P",1,"75 bis 79","Alteingesessen","<1000",102,"Andelfingen"
"11",NA,3,3,NA,NA,3,3,NA,2,NA,4,3,NA,2,NA,3,NA,2,3,3,NA,NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,NA,NA,7,NA,NA,7,7,NA,7,NA,6,6,NA,5,5,4,3,15,6,13,2,2,85,105,2,3,3,3,3,3,3,3,4,"P&P",2,"80+","Alteingesessen","20001 bis 50000",109,"Uster"
"12",2,1,7,7,1,7,7,7,7,1,7,NA,7,7,NA,7,1,7,7,7,1,2,7,7,7,7,7,7,NA,NA,7,7,NA,NA,NA,NA,NA,7,NA,7,1,7,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,5,16,12,8,4,3,1,NA,NA,2,3,3,3,3,NA,NA,1,3,"online",2,"60 bis 64","Alteingesessen","2001 bis 5000",111,"Dietikon"
"13",6,4,3,1,1,6,7,5,3,3,1,1,6,1,3,6,1,7,3,5,7,4,1,1,5,4,5,6,1,1,3,1,1,3,1,3,3,4,4,5,5,6,7,5,5,7,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,3,12,14,4,10,15,2,90,120,3,4,4,4,4,3,3,2,2,"online",1,"40 bis 44","Neuzuzüger","2001 bis 5000",108,"Pfäffikon"
"14",5,3,6,1,6,6,7,3,4,5,1,3,2,6,6,7,3,7,6,5,3,3,6,6,6,6,5,7,6,7,7,7,6,7,7,7,6,5,7,7,NA,5,6,NA,NA,4,4,5,NA,NA,NA,6,NA,6,6,5,1,2,4,15,7,4,11,13,NA,NA,NA,1,1,1,3,3,NA,NA,1,3,"online",1,"50 bis 54","Neuzuzüger",">100000",112,"Zürich"
"15",3,4,7,NA,NA,NA,7,7,7,7,7,NA,7,7,7,7,NA,NA,7,7,7,4,NA,7,7,NA,NA,NA,NA,NA,7,7,7,NA,NA,NA,7,7,7,7,NA,7,7,NA,NA,7,NA,NA,NA,7,NA,NA,NA,7,NA,7,7,7,3,15,3,10,11,16,NA,NA,NA,1,NA,3,3,3,NA,NA,2,3,"online",2,"55 bis 59","Alteingesessen","20001 bis 50000",105,"Hinwil"
"16",6,4,1,2,2,2,5,2,1,1,2,2,5,2,4,4,1,5,2,6,5,3,4,1,6,1,4,2,2,2,4,4,1,2,1,1,2,5,1,1,6,5,6,5,5,5,5,5,5,NA,NA,NA,NA,NA,4,5,5,5,3,7,3,4,11,8,2,80,110,2,2,3,3,4,2,1,3,4,"online",1,"35 bis 39","Neuzuzüger","<1000",110,"Winterthur"
"17",3,3,5,4,5,5,2,5,6,5,3,5,5,6,5,6,5,4,6,4,7,3,4,4,4,2,4,3,5,6,3,4,4,4,2,2,1,3,3,2,4,6,5,NA,NA,5,NA,6,5,5,5,5,NA,4,NA,NA,NA,NA,3,14,4,5,7,13,2,90,108,2,2,3,3,2,2,2,3,4,"online",2,"50 bis 54","Alteingesessen","10001 bis 20000",105,"Hinwil"
"18",2,4,5,6,5,6,5,4,3,5,3,4,5,4,6,5,4,6,3,5,5,3,2,2,5,3,2,6,5,5,5,4,3,4,4,3,4,5,2,4,6,6,7,2,2,6,4,4,6,6,6,3,5,6,5,7,7,5,3,3,1,7,2,12,2,85,120,3,1,3,4,1,2,3,1,3,"online",1,"25 bis 29","Alteingesessen","2001 bis 5000",111,"Dietikon"
"19",6,4,6,6,6,6,7,7,6,5,7,6,6,6,7,7,NA,7,7,7,NA,3,6,7,7,6,5,7,NA,5,7,7,5,NA,NA,7,5,6,6,6,6,7,7,6,6,7,NA,5,7,7,NA,NA,NA,5,5,7,7,7,4,4,3,5,10,11,2,65,104,2,1,2,2,4,3,3,1,1,"P&P",1,"75 bis 79","Alteingesessen","10001 bis 20000",108,"Pfäffikon"
"20",2,4,6,4,4,5,5,4,6,4,6,6,5,4,6,5,4,6,7,6,4,4,6,6,6,5,5,5,5,6,6,6,4,5,5,5,5,6,6,7,7,6,6,5,5,6,5,5,5,5,4,5,4,4,5,5,5,5,3,3,11,7,10,15,2,95,115,2,2,3,3,2,2,2,1,3,"P&P",2,"70 bis 74","Alteingesessen","2001 bis 5000",102,"Andelfingen"
"21",3,3,6,5,6,6,6,5,6,5,6,6,6,6,5,5,5,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,3,5,NA,NA,6,4,NA,NA,5,NA,5,NA,5,5,4,NA,NA,4,12,2,3,8,4,1,NA,NA,2,3,3,4,2,2,2,3,3,"online",2,"55 bis 59","Alteingesessen","10001 bis 20000",106,"Horgen"
"22",3,4,6,5,4,5,7,4,5,6,3,3,6,5,5,5,3,5,6,4,5,3,5,5,5,5,4,5,3,5,5,5,5,3,5,6,6,5,4,5,5,4,5,5,5,6,NA,5,NA,NA,NA,NA,NA,6,6,5,5,NA,3,1,10,6,11,14,2,95,120,3,1,2,3,3,1,1,1,4,"online",1,"55 bis 59","Neuzuzüger","20001 bis 50000",106,"Horgen"
"23",3,4,6,4,5,4,5,6,4,4,3,3,6,2,4,6,2,5,6,5,6,4,4,5,7,5,3,6,3,3,4,3,4,3,3,5,4,5,5,6,5,5,6,NA,5,6,4,NA,4,4,NA,NA,NA,4,4,5,5,6,3,3,2,15,10,5,2,80,120,2,1,2,2,2,1,3,2,3,"online",1,"50 bis 54","Alteingesessen","2001 bis 5000",104,"Dielsdorf"
"24",2,4,5,2,6,3,3,7,6,4,5,5,5,2,6,6,5,6,5,5,5,3,5,3,6,4,NA,6,6,4,6,5,2,6,6,5,5,6,1,5,2,2,4,5,5,4,6,NA,NA,5,1,4,2,5,2,4,7,5,4,3,11,9,6,10,2,90,110,1,4,1,3,1,2,3,2,2,"online",2,"18 bis 24","Neuzuzüger",">100000",110,"Winterthur"
"25",1,4,7,NA,NA,NA,6,3,6,NA,NA,NA,5,3,4,6,NA,3,6,6,NA,3,4,5,5,6,6,6,7,7,7,7,5,6,5,6,6,6,7,7,4,7,5,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,4,3,4,2,11,6,2,75,105,2,2,2,4,3,3,3,3,4,"P&P",1,"70 bis 74","Neuzuzüger","5001 bis 10000",110,"Winterthur"
"26",6,4,2,5,1,7,7,7,6,4,1,1,6,5,5,6,1,7,7,5,6,3,2,4,6,6,4,6,1,1,1,1,1,1,1,2,2,5,7,5,5,6,7,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,6,3,3,2,6,5,4,2,12,10,15,NA,NA,NA,2,4,2,2,NA,1,1,4,3,"online",1,"50 bis 54","Alteingesessen",">100000",112,"Zürich"
"27",2,4,7,6,7,6,7,5,5,5,5,5,7,5,7,5,5,7,6,7,5,4,5,5,6,5,5,6,7,4,4,4,5,5,5,4,4,5,5,6,6,4,6,5,5,7,7,6,6,5,5,6,5,5,5,7,4,6,3,2,15,5,4,10,2,90,110,3,3,3,4,2,2,2,2,2,"online",1,"40 bis 44","Neuzuzüger","1001 bis 2000",102,"Andelfingen"
"28",2,4,6,4,6,6,6,4,6,6,5,5,6,5,6,5,5,5,6,7,6,4,5,6,7,5,6,7,6,5,5,5,6,7,5,6,7,6,5,6,6,6,7,6,6,6,6,6,6,5,6,6,6,6,6,7,5,7,3,2,1,3,15,13,NA,NA,NA,3,1,2,4,2,4,4,4,3,"online",1,"18 bis 24","Alteingesessen","5001 bis 10000",107,"Meilen"
"29",6,3,6,4,7,5,7,6,6,6,6,6,5,7,6,4,4,5,6,4,3,3,6,7,6,6,NA,7,7,NA,NA,7,NA,6,4,5,6,5,7,7,5,4,4,6,NA,6,7,NA,5,5,NA,4,6,5,5,5,4,5,3,NA,NA,NA,NA,NA,1,NA,NA,2,2,2,NA,3,2,3,2,3,"online",1,"50 bis 54","Alteingesessen","2001 bis 5000",102,"Andelfingen"
"30",6,3,7,4,6,7,7,7,7,5,4,6,6,7,5,7,5,5,7,6,7,3,6,4,5,5,7,6,6,4,4,4,4,6,5,4,6,6,4,6,4,6,5,5,3,6,4,4,NA,NA,NA,5,NA,4,6,5,3,6,4,4,13,7,12,2,2,65,115,2,1,2,3,3,2,3,1,2,"online",1,"30 bis 34","Neuzuzüger","5001 bis 10000",110,"Winterthur"
"31",8,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6,4,1,15,2,2,47,67,3,NA,4,4,4,3,3,3,3,"online",1,"18 bis 24","Alteingesessen",">100000",112,"Zürich"
"32",2,3,4,4,5,6,7,5,6,4,4,5,7,6,3,5,4,5,7,7,3,2,6,5,6,4,6,7,7,4,4,4,3,4,4,3,4,6,4,6,4,3,4,5,3,2,3,4,4,5,5,5,5,5,5,3,5,3,3,15,3,8,14,2,2,90,115,2,1,3,3,2,2,3,2,4,"online",1,"45 bis 49","Alteingesessen","1001 bis 2000",102,"Andelfingen"
"33",8,2,7,4,7,6,5,6,7,3,7,7,3,2,4,6,1,6,6,6,1,3,3,7,7,5,4,7,7,6,7,6,5,1,1,5,2,6,2,4,6,6,7,6,4,NA,6,NA,6,4,NA,NA,NA,2,4,6,5,4,NA,2,6,4,13,9,NA,NA,NA,3,1,4,4,2,2,3,2,4,"P&P",2,"75 bis 79","Alteingesessen","1001 bis 2000",104,"Dielsdorf"
"34",4,4,5,1,2,3,6,5,6,3,3,1,5,2,4,7,2,7,6,5,6,3,NA,7,5,6,6,5,3,2,2,3,1,5,1,6,4,4,2,6,1,6,6,NA,NA,7,5,NA,NA,NA,1,NA,NA,NA,5,6,6,5,3,6,2,10,15,4,1,NA,NA,3,NA,3,4,3,2,2,1,3,"online",1,"35 bis 39","Alteingesessen","10001 bis 20000",104,"Dielsdorf"
"35",4,3,6,2,3,3,5,5,6,4,1,1,6,5,6,7,3,5,7,6,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"online",1,"18 bis 24","Alteingesessen",">100000",112,"Zürich"
"36",1,4,6,NA,NA,7,6,7,6,6,7,7,7,6,6,7,NA,6,6,NA,NA,3,7,7,6,7,6,6,7,7,7,7,1,7,6,7,7,6,5,7,3,7,NA,NA,NA,7,NA,NA,7,6,2,NA,NA,7,6,6,NA,NA,5,2,11,3,5,15,2,107,117,3,1,3,3,3,1,3,1,4,"online",1,"65 bis 69","Alteingesessen","10001 bis 20000",105,"Hinwil"
"37",1,3,7,1,6,6,7,6,7,6,6,6,6,4,6,NA,6,5,7,5,NA,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA,6,6,NA,6,6,6,6,6,3,4,6,15,NA,NA,NA,NA,NA,2,NA,4,3,4,NA,NA,NA,NA,"online",2,"65 bis 69","Alteingesessen","<1000",102,"Andelfingen"
"38",6,3,6,4,6,6,7,6,5,6,2,4,6,5,6,4,1,6,6,6,5,2,4,5,7,6,4,7,7,4,6,4,3,7,1,4,7,3,6,7,4,2,5,4,6,7,1,NA,NA,NA,NA,1,NA,6,2,7,NA,6,5,4,1,2,10,NA,1,NA,NA,2,2,2,3,2,3,3,3,NA,"online",1,"55 bis 59","Alteingesessen","1001 bis 2000",101,"Affoltern"
"39",2,4,5,3,4,5,6,3,6,4,1,1,5,4,4,5,4,4,5,4,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,NA,5,6,6,5,6,5,NA,4,5,5,6,6,5,6,3,2,9,3,5,12,2,86,120,3,4,4,4,3,2,2,1,3,"online",1,"45 bis 49","Alteingesessen","5001 bis 10000",105,"Hinwil"
"40",5,4,6,2,7,5,7,3,7,7,5,6,6,7,6,3,7,4,7,4,4,4,3,3,6,NA,NA,7,7,7,7,6,4,7,7,7,6,7,7,7,5,NA,7,NA,NA,7,7,NA,NA,NA,NA,7,5,7,7,6,6,7,3,2,12,13,11,15,NA,NA,NA,2,2,3,4,3,2,3,NA,3,"online",2,"40 bis 44","Alteingesessen",">100000",110,"Winterthur"
"41",6,4,5,4,6,6,5,4,6,5,5,5,5,5,4,6,4,5,4,5,5,3,5,5,7,5,5,5,5,4,5,6,3,5,6,5,5,5,4,4,4,4,6,NA,4,6,5,5,5,5,3,5,5,5,5,5,5,5,4,2,11,3,4,5,2,85,110,2,2,2,3,2,3,3,2,2,"online",1,"55 bis 59","Alteingesessen",">100000",112,"Zürich"
"42",2,4,7,2,NA,5,5,6,5,2,NA,3,6,1,4,7,4,4,7,3,6,4,3,3,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,3,6,6,NA,3,2,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,2,4,5,NA,2,3,2,4,3,9,1,2,90,110,2,1,2,3,2,2,3,1,3,"online",1,"30 bis 34","Alteingesessen","10001 bis 20000",106,"Horgen"
"43",5,4,3,1,1,1,4,3,1,1,NA,3,4,1,4,NA,1,6,2,5,5,3,5,4,6,2,2,7,7,4,6,6,NA,NA,NA,3,4,5,4,6,7,7,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,NA,5,11,6,4,15,3,2,90,110,3,2,4,2,4,2,2,1,4,"online",2,"50 bis 54","Alteingesessen","<1000",110,"Winterthur"
"44",6,4,7,2,7,3,6,6,7,6,2,2,6,6,5,6,7,6,7,7,7,3,4,4,7,4,4,7,6,5,2,2,5,6,7,7,6,6,7,5,4,NA,5,NA,NA,5,5,NA,NA,NA,NA,4,4,3,3,5,4,4,3,9,2,1,10,4,2,90,120,2,2,3,3,2,2,2,1,4,"online",2,"40 bis 44","Neuzuzüger",">100000",112,"Zürich"
"45",6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"online",1,"45 bis 49","Neuzuzüger","20001 bis 50000",103,"Bülach"
"46",1,4,1,6,6,5,6,7,5,3,6,6,6,6,6,6,1,7,1,6,7,3,6,6,6,3,6,6,6,6,6,6,1,3,1,5,5,6,1,4,6,7,5,4,6,7,6,6,6,6,NA,4,NA,6,4,4,NA,5,3,2,5,11,3,10,NA,NA,NA,1,1,1,NA,1,3,1,1,1,"online",1,"50 bis 54","Alteingesessen","1001 bis 2000",104,"Dielsdorf"
"47",6,4,5,6,6,5,7,2,6,3,2,5,6,4,4,5,3,6,5,4,5,4,6,3,5,6,6,6,6,5,4,5,5,6,4,2,6,6,6,6,6,7,6,NA,5,6,6,NA,NA,NA,NA,6,NA,NA,6,6,6,6,3,2,10,3,4,5,2,90,120,3,2,4,4,4,1,1,1,2,"online",1,"40 bis 44","Alteingesessen","2001 bis 5000",102,"Andelfingen"
"48",6,3,5,4,5,5,5,5,6,5,6,5,4,4,4,4,5,5,5,6,4,3,5,6,5,5,5,5,6,5,6,6,4,5,4,5,5,5,5,5,5,5,5,4,4,5,5,5,6,6,4,5,5,5,5,5,6,5,4,12,4,7,3,6,3,75,110,2,2,2,3,3,2,3,2,3,"online",2,"70 bis 74","Neuzuzüger","2001 bis 5000",104,"Dielsdorf"
"49",2,4,6,5,7,5,4,3,7,5,5,4,6,6,3,5,5,6,7,7,6,3,5,4,6,5,5,6,6,6,5,5,6,6,5,5,6,4,7,5,5,5,6,NA,6,5,7,5,5,5,NA,6,5,6,7,5,6,5,4,15,9,7,4,14,1,NA,NA,2,2,3,3,2,NA,4,1,3,"online",2,"18 bis 24","Alteingesessen",">100000",110,"Winterthur"
"50",3,NA,6,2,2,6,7,4,6,5,3,2,5,2,6,6,1,7,7,7,6,2,6,6,6,7,6,7,4,7,6,7,4,6,2,3,5,7,7,7,3,6,5,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,4,5,8,3,15,2,NA,116,2,1,4,4,3,NA,3,2,4,"online",2,"45 bis 49","Alteingesessen","<1000",110,"Winterthur"
"51",2,3,6,5,5,5,7,6,5,5,5,5,5,6,7,6,4,6,7,6,6,3,7,6,7,5,6,6,6,6,6,6,4,5,6,4,6,5,5,7,6,4,6,6,6,5,6,6,6,6,NA,5,5,5,6,5,6,6,3,4,2,9,11,1,1,NA,NA,1,1,1,1,1,1,1,1,1,"online",1,"55 bis 59","Alteingesessen","1001 bis 2000",102,"Andelfingen"
"52",4,3,5,6,7,4,7,5,6,5,1,4,5,4,5,7,3,6,7,5,7,3,5,3,6,NA,NA,5,7,4,7,4,NA,7,3,4,7,6,7,7,NA,6,6,NA,NA,5,3,NA,NA,NA,NA,4,NA,NA,5,5,4,4,3,2,1,10,4,15,2,96,121,1,1,2,3,NA,3,3,NA,3,"online",1,"40 bis 44","Alteingesessen","10001 bis 20000",108,"Pfäffikon"
"53",3,3,4,4,6,5,6,5,5,5,6,5,4,5,6,4,4,6,6,6,NA,2,5,6,7,6,5,6,6,6,7,7,5,5,6,6,5,5,6,7,5,6,5,4,5,5,6,NA,4,3,NA,4,5,4,4,6,5,3,5,15,11,10,13,6,2,90,110,2,1,2,3,3,3,3,2,3,"online",2,"65 bis 69","Alteingesessen","2001 bis 5000",108,"Pfäffikon"
"54",2,4,2,3,5,7,6,3,7,7,7,3,7,7,5,3,1,3,7,7,2,4,7,3,6,6,7,7,6,6,7,4,6,6,7,7,7,2,7,7,6,NA,5,NA,NA,6,NA,NA,7,7,NA,NA,3,7,7,6,2,3,3,13,16,10,12,7,2,112,134,3,1,3,NA,3,4,NA,NA,NA,"P&P",2,"65 bis 69","Alteingesessen",">100000",112,"Zürich"
"55",6,3,7,6,5,6,7,5,7,6,6,6,6,6,7,7,4,6,7,6,7,3,7,6,6,6,6,7,4,6,6,6,5,5,3,6,5,5,6,7,2,2,5,3,4,6,5,NA,6,4,7,7,7,6,6,5,6,3,3,15,4,3,14,2,2,72,100,3,2,4,4,4,1,3,1,3,"online",2,"55 bis 59","Alteingesessen","1001 bis 2000",104,"Dielsdorf"
"56",1,3,6,2,1,5,6,6,3,3,3,3,5,2,4,6,1,6,7,6,5,3,5,5,6,2,5,6,2,6,6,5,2,2,2,5,4,6,6,6,5,5,5,3,5,6,2,6,6,6,2,2,2,4,4,6,6,6,3,11,6,5,3,8,2,80,120,2,2,3,3,2,1,3,2,3,"online",1,"50 bis 54","Neuzuzüger","2001 bis 5000",101,"Affoltern"
"57",2,3,5,2,3,3,4,4,4,1,2,3,5,5,5,5,2,3,7,5,5,2,5,3,5,NA,NA,5,5,5,4,4,5,5,5,3,5,5,2,5,5,NA,5,NA,NA,5,5,NA,NA,NA,NA,3,NA,3,3,5,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"online",1,"18 bis 24","Alteingesessen","2001 bis 5000",111,"Dietikon"
"58",2,4,5,7,6,6,7,7,6,6,7,5,4,6,7,7,4,5,6,7,5,4,5,5,7,4,4,5,5,5,7,7,4,4,4,4,6,4,5,4,5,5,6,5,5,5,4,7,7,7,3,3,3,5,6,5,5,5,4,3,11,1,6,5,2,84,114,3,2,4,4,3,1,3,1,3,"P&P",1,"80+","Alteingesessen","1001 bis 2000",103,"Bülach"
"59",3,4,7,3,7,6,7,5,6,6,5,4,7,5,6,7,7,7,7,7,7,4,6,3,7,5,6,7,7,5,5,5,NA,6,7,4,7,7,6,7,6,7,7,6,5,7,NA,NA,NA,NA,NA,NA,NA,6,5,6,7,6,4,2,15,4,9,3,2,72,115,2,1,3,4,3,3,3,1,3,"online",1,"30 bis 34","Neuzuzüger","10001 bis 20000",106,"Horgen"
"60",NA,3,4,3,NA,4,5,4,4,3,4,4,4,4,4,4,NA,6,6,6,5,3,5,5,5,NA,NA,5,NA,NA,5,NA,NA,NA,NA,NA,NA,4,NA,5,5,5,5,NA,NA,5,NA,NA,5,NA,NA,NA,NA,NA,NA,4,NA,5,3,5,7,4,10,15,NA,75,95,2,3,3,3,3,3,3,2,3,"P&P",1,"65 bis 69","Alteingesessen","2001 bis 5000",110,"Winterthur"
"61",1,2,NA,NA,NA,NA,NA,NA,3,1,1,1,3,1,7,NA,NA,NA,2,5,1,2,1,5,5,1,6,6,2,4,4,1,1,1,1,1,4,4,1,4,1,5,5,4,5,6,1,1,3,1,1,1,1,1,4,4,1,4,4,3,8,NA,NA,NA,NA,95,115,2,4,4,4,4,3,NA,2,4,"P&P",1,"65 bis 69","Alteingesessen","20001 bis 50000",109,"Uster"
"62",5,3,7,2,6,6,5,4,7,4,2,2,7,4,2,4,6,6,7,6,6,3,7,5,7,6,7,7,7,3,6,6,4,7,6,6,6,6,3,6,5,7,6,6,6,5,NA,NA,NA,NA,NA,NA,NA,6,6,5,4,6,5,14,4,2,5,12,2,70,100,2,2,3,3,3,1,1,1,1,"online",2,"30 bis 34","Neuzuzüger","20001 bis 50000",111,"Dietikon"
"63",6,4,5,1,7,6,3,4,6,5,5,5,5,4,5,5,5,6,7,7,7,3,5,5,7,5,5,7,7,7,7,6,7,5,7,7,2,7,1,3,4,5,7,4,NA,7,5,NA,NA,NA,NA,NA,4,7,NA,6,NA,NA,4,3,7,2,4,8,2,85,115,2,1,3,4,2,2,3,1,4,"online",2,"50 bis 54","Alteingesessen",">100000",112,"Zürich"
